,title,abstract,affiliations,authors,journal,date,keywords,url
0,Deep Phenotypic Cell Classification using Capsule Neural Network,"Recent developments in ultra-high-throughput microscopy have created a new generation of cell classification methodologies focused solely on image-based cell phenotypes. These image-based analyses enable morphological profiling and screening of thousands or even millions of single cells at a fraction of the cost. They have been shown to demonstrate the statistical significance required for understanding the role of cell heterogeneity in diverse biologists. However, these single-cell analysis techniques are slow and require expensive genetic/epigenetic analysis. This treatise proposes an innovative DL system based on the newly created capsule networks (CapsNet) architecture. The proposed deep CapsNet model employs ""Capsules"" for high-level feature abstraction relevant to the cell category. Experiments demonstrate that our proposed system can accurately classify different types of cells based on phenotypic label-free bright-field images with over 98.06% accuracy and that deep CapsNet models outperform CNN models in the prior art.",NO_AFFILIATIONS,"Subhankar Chattoraj, Arnab Chakraborty, Akash Gupta, Yash Vishwakarma, Karan Vishwakarma, Jeetashree Aparajeeta, ",Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/34892115
1,Mask Dynamic Routing to Combined Model of Deep Capsule Network and U-Net,"The capsule network is a novel architecture to encode feature attributes and spatial relationships of an image. By using the dynamic routing (DR) algorithm, a capsule network (CapsNet) model can be trained. However, the original three-layer CapsNet with the DR algorithm performs poorly on complex data sets, such as FashionMNIST, CIFAR-10, and CIFAR-100. This deficiency limits the wider application of capsule networks. In this article, we propose a deep capsule network model combined with a U-Net preprocessing module (DCN-UN). Local connection and weight-sharing strategies are adopted from convolutional neural networks to design a convolutional capsule layer in the DCN-UN model. This allows considerably reducing the number of parameters in the network model. Moreover, a greedy strategy is incorporated into the design of a mask DR (MDR) algorithm to improve the performance of network models. DCN-UN requires up to five times fewer parameters compared with the original CapsNet and other CapsNet-based models. The performance improvement achieved by the DCN-UN model with the MDR algorithm over the original CapsNet model with the DR algorithm is approximately 12% and 17% on the CIFAR-10 and CIFAR-100 data sets, respectively. The experimental results confirm that the proposed DCN-UN model allows preserving advantages of image reconstruction and equivariance mechanism in capsule networks. Moreover, an efficient initialization method is explored to enhance training stability and avoid gradient explosion.",NO_AFFILIATIONS,"Junying Chen, Zhan Liu, ",IEEE transactions on neural networks and learning systems,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/32310796
2,Topographic Variations in Retinal Encoding of Visual Space,"A retina completely devoid of topographic variations would be homogenous, encoding any given feature uniformly across the visual field. In a naive view, such homogeneity would appear advantageous. However, it is now clear that retinal topographic variations exist across mammalian species in a variety of forms and patterns. We briefly review some of the more established topographic variations in retinas of different mammalian species and focus on the recent discovery that cells belonging to a single neuronal subtype may exhibit distinct topographic variations in distribution, morphology, and even function. We concentrate on the mouse retina-originally viewed as homogenous-in which genetic labeling of distinct neuronal subtypes and other advanced techniques have revealed unexpected anatomical and physiological topographic variations. Notably, different subtypes reveal different patterns of nonuniformity, which may even be opposite or orthogonal to one another. These topographic variations in the encoding of visual space should be considered when studying visual processing in the retina and beyond.","['1 Department of Neurobiology, Weizmann Institute of Science, Rehovot 7610001, Israel; email: alina.heukamp@weizmann.ac.il, rebekah.warwick@weizmann.ac.il, michal.rivlin@weizmann.ac.il.']","Alina Sophie Heukamp, Rebekah Anne Warwick, Michal Rivlin-Etzion, ",Annual review of vision science,2020,cone opsins; fovea; mouse; retina; retinal ganglion cells; topography.,https://pubmed.ncbi.nlm.nih.gov/32320630
3,Retinal organoid light responsivity: current status and future opportunities,"The ability to generate human retinas in vitro from pluripotent stem cells opened unprecedented opportunities for basic science and for the development of therapeutic approaches for retinal degenerative diseases. Retinal organoid models not only mimic the histoarchitecture and cellular composition of the native retina, but they can achieve a remarkable level of maturation that allows them to respond to light stimulation. However, studies evaluating the nature, magnitude, and properties of light-evoked responsivity from each cell type, in each retinal organoid layer, have been sparse. In this review we discuss the current understanding of retinal organoid function, the technologies used for functional assessment in human retinal organoids, and the challenges and opportunities that lie ahead.","['1 Department of Biology, The University of Akron, Akron, Ohio.', '2 CellSight Ocular Stem Cell and Regeneration Program, Sue Anschutz-Rodgers Eye Center, University of Colorado School of Medicine, Aurora, Colorado. Electronic address: natalia.vergara@cuanschutz.edu.', '3 Department of Biology, The University of Akron, Akron, Ohio. Electronic address: jrenna@uakron.edu.']","Jessica R Onyak, M Natalia Vergara, Jordan M Renna, ",Translational research : the journal of laboratory and clinical medicine,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/35690342
4,Understanding the retinal basis of vision across species,"The vertebrate retina first evolved some 500 million years ago in ancestral marine chordates. Since then, the eyes of different species have been tuned to best support their unique visuoecological lifestyles. Visual specializations in eye designs, large-scale inhomogeneities across the retinal surface and local circuit motifs mean that all species' retinas are unique. Computational theories, such as the efficient coding hypothesis, have come a long way towards an explanation of the basic features of retinal organization and function; however, they cannot explain the full extent of retinal diversity within and across species. To build a truly general understanding of vertebrate vision and the retina's computational purpose, it is therefore important to more quantitatively relate different species' retinal functions to their specific natural environments and behavioural requirements. Ultimately, the goal of such efforts should be to build up to a more general theory of vision.","['1 Sussex Neuroscience, School of Life Sciences, University of Sussex, Brighton, UK. t.baden@sussex.ac.uk.', '2 Institute for Ophthalmic Research, University of Tübingen, Tübingen, Germany. t.baden@sussex.ac.uk.', '3 Institute for Ophthalmic Research, University of Tübingen, Tübingen, Germany.', '4 Werner Reichardt Centre for Integrative Neuroscience, University of Tübingen, Tübingen, Germany.', '5 Institute for Bioinformatics and Medical Informatics, University of Tübingen, Tübingen, Germany.', '6 Bernstein Centre for Computational Neuroscience, University of Tübingen, Tübingen, Germany.']","Tom Baden, Thomas Euler, Philipp Berens, ",Nature reviews. Neuroscience,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/31780820
5,CapsProm: a capsule network for promoter prediction,"Locating the promoter region in DNA sequences is of paramount importance in bioinformatics. This problem has been widely studied in the literature, but it has not yet been fully resolved. Some researchers have shown remarkable results using convolutional networks that allowed the automatic extraction of features from a DNA chain. However, a single architecture schema that could learn the promoter prediction task competitively for several organisms has not yet been achieved. Thus, researchers must seek new architectures by hand-designing or by Neural Architecture Search for each new evaluated organism dataset. This work proposes a versatile architecture based on a capsule network that can accurately identify promoter sequences in raw DNA data from five different organisms, eukaryotic and prokaryotic. Our architecture, the CapsProm, could help create models with minimum effort to learn the promoter identification task between different datasets. Furthermore, the CapsProm showed competitive results, overcoming the baseline method in five out of seven tested datasets (F1-score). The models and source code are made available at https://github.com/lauromoraes/CapsNet-promoter.","['1 Computing Department, Federal University of Ouro Preto, Ouro Preto, 35400-000, Minas Gerais, Brazil; Biological Sciences Research Center, Federal University of Ouro Preto, Ouro Preto, 35400-000, Minas Gerais, Brazil.', '2 Computing Department, Federal University of Ouro Preto, Ouro Preto, 35400-000, Minas Gerais, Brazil.', '3 Computing Department, Federal University of Ouro Preto, Ouro Preto, 35400-000, Minas Gerais, Brazil. Electronic address: gladston@ufop.edu.br.']","Lauro Moraes, Pedro Silva, Eduardo Luz, Gladston Moreira, ",Computers in biology and medicine,NO_DATE,Capsules network; Deep learning; Genomics; Promoter prediction.,https://pubmed.ncbi.nlm.nih.gov/35671653
6,Physiology and evolution of oxygen secreting mechanism in the fisheye,"Most teleost fishes possess a unique system for tissue oxygen supply, where oxygen is delivered to the retina at partial pressures that exceed one atmosphere, providing a steep gradient for oxygen diffusion through their thick avascular retinas. This exceptional physiological system works through the elaborate interplay between highly pH-sensitive hemoglobins, acid-producing metabolic pathways, and a retinal vasculature with specialized structural and functional properties. This graphical review summarizes recent advances in understanding the mechanisms underlying retinal oxygen secretion and their impact on visual processing. Further, it discusses how the evolution of this complex physiological system provided the essential physiological exaptations for the adaptive improvements of vision in early teleost evolution. Finally, it summarizes knowledge gaps and directions for future research on this unique system for tissue oxygen supply.","['1 Aarhus Institute of Advanced Studies, Aarhus University, Aarhus C, Denmark; Section for Zoophysiology, Department of Biology, Aarhus University, Aarhus C, Denmark. Electronic address: christian.damsgaard@aias.au.dk.']","Christian Damsgaard, ","Comparative biochemistry and physiology. Part A, Molecular & integrative physiology",NO_DATE,August Krogh; Carbonic anhydrase; Hemoglobin; Retina; Vision.,https://pubmed.ncbi.nlm.nih.gov/33166685
7,The Role of Hsp90 in Retinal Proteostasis and Disease,"Photoreceptors are sensitive neuronal cells with great metabolic demands, as they are responsible for carrying out visual phototransduction, a complex and multistep process that requires the exquisite coordination of a large number of signalling protein components. Therefore, the viability of photoreceptors relies on mechanisms that ensure a well-balanced and functional proteome that maintains the protein homeostasis, or proteostasis, of the cell. This review explores how the different isoforms of Hsp90, including the cytosolic Hsp90α/β, the mitochondrial TRAP1, and the ER-specific GRP94, are involved in the different proteostatic mechanisms of photoreceptors, and elaborates on Hsp90 function when retinal homeostasis is disturbed. In addition, several studies have shown that chemical manipulation of Hsp90 has significant consequences, both in healthy and degenerating retinae, and this can be partially attributed to the fact that Hsp90 interacts with important photoreceptor-associated client proteins. Here, the interaction of Hsp90 with the retina-specific client proteins PDE6 and GRK1 will be further discussed, providing additional insights for the role of Hsp90 in retinal disease.","['1 UCL Institute of Ophthalmology, 11-43 Bath Street, London EC1V 9EL, UK.']","Kalliopi Ziaka, Jacqueline van der Spuy, ",Biomolecules,2022,Hsp90; chaperone; co-chaperone; heat shock protein; inherited retinal disease; photoreceptor; phototransduction; proteostasis.,https://pubmed.ncbi.nlm.nih.gov/35883534
8,CapsNet-LDA: predicting lncRNA-disease associations using attention mechanism and capsule network based on multi-view data,"Cumulative studies have shown that many long non-coding RNAs (lncRNAs) are crucial in a number of diseases. Predicting potential lncRNA-disease associations (LDAs) can facilitate disease prevention, diagnosis and treatment. Therefore, it is vital to develop practical computational methods for LDA prediction. In this study, we propose a novel predictor named capsule network (CapsNet)-LDA for LDA prediction. CapsNet-LDA first uses a stacked autoencoder for acquiring the informative low-dimensional representations of the lncRNA-disease pairs under multiple views, then the attention mechanism is leveraged to implement an adaptive allocation of importance weights to them, and they are subsequently processed using a CapsNet-based architecture for predicting LDAs. Different from the conventional convolutional neural networks (CNNs) that have some restrictions with the usage of scalar neurons and pooling operations. the CapsNets use vector neurons instead of scalar neurons that have better robustness for the complex combination of features and they use dynamic routing processes for updating parameters. CapsNet-LDA is superior to other five state-of-the-art models on four benchmark datasets, four perturbed datasets and an independent test set in the comparison experiments, demonstrating that CapsNet-LDA has excellent performance and robustness against perturbation, as well as good generalization ability. The ablation studies verify the effectiveness of some modules of CapsNet-LDA. Moreover, the ability of multi-view data to improve performance is proven. Case studies further indicate that CapsNet-LDA can accurately predict novel LDAs for specific diseases.","['1 College of Computer and Information Engineering, Jiangxi Agricultural University, Nanchang, 310045 Jiangxi, China.', '2 College of Information Science and Engineering, Hunan University, Changsha 410082, Hunan, China.']","Zequn Zhang, Junlin Xu, Yanan Wu, Niannian Liu, Yinglong Wang, Ying Liang, ",Briefings in bioinformatics,2023,attention mechanism; capsule network; lncRNA-disease association prediction; multi-view; stacked autoencoder.,https://pubmed.ncbi.nlm.nih.gov/36511221
9,CapsNet-COVID19: Lung CT image classification method based on CapsNet model,"The outbreak of the Corona Virus Disease 2019 (COVID-19) has posed a serious threat to human health and life around the world. As the number of COVID-19 cases continues to increase, many countries are facing problems such as errors in nucleic acid testing (RT-PCR), shortage of testing reagents, and lack of testing personnel. In order to solve such problems, it is necessary to propose a more accurate and efficient method as a supplement to the detection and diagnosis of COVID-19. This research uses a deep network model to classify some of the COVID-19, general pneumonia, and normal lung CT images in the 2019 Novel Coronavirus Information Database. The first level of the model uses convolutional neural networks to locate lung regions in lung CT images. The second level of the model uses the capsule network to classify and predict the segmented images. The accuracy of our method is 84.291% on the test set and 100% on the training set. Experiment shows that our classification method is suitable for medical image classification with complex background, low recognition rate, blurred boundaries and large image noise. We believe that this classification method is of great value for monitoring and controlling the growth of patients in COVID-19 infected areas.","['1 Nanjing University of Science and Technology, Taizhou Technology Institute, Taizhou 225300, China.', '2 Donghua University, College of Information Science and Technology, Shanghai 201620, China.']","XiaoQing Zhang, GuangYu Wang, Shu-Guang Zhao, ",Mathematical biosciences and engineering : MBE,2022,COVID-19; CT image analysis of lungs; capsule network; convolutional neural network; medical image classification; medical image segmentation.,https://pubmed.ncbi.nlm.nih.gov/35430853
